วันที่,วิชาสอน,รายละเอียด,รูปภาพ,เทอม,สัปดาห์
29/7/2569,การเขียนโปรแกรมคอมพิวเตอร์,ประเมินผลลัพธ์การเรียนรู้ระดับรายวิชา (กลางภาค) เขียนโปรแกรมภาษาซีและออกแบบผังงาน (หน่วยที่ 1-5),,1,13
30/7/2569,-,ปฏิบัติหน้าที่ครูเวรดูแลนักเรียน,1-qEYzdf3rFiVnlz7g_LCnBJmn_TYvcyb,1,13
31/7/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,ทบทวนโจทย์จำลองและฝึกปฏิบัติการคอนฟิกเครื่องแม่ข่ายเตรียมสอบปฏิบัติ,,1,13
3/8/2569,-,ดำเนินการดูแลนักเรียน ปวช.1 ในการซ้อมกีฬาสีของสีเหลือง ณ บริเวณหน้าอาคาร 5,1H_TB3rvOiCkGHv0OSKgNkq1LnCxHo5LZ,1,14
4/8/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอบปฏิบัติการคอนฟิกเครื่องแม่ข่ายและการบริหารจัดการระบบเครือข่าย,,1,14
5/8/2569,การเขียนโปรแกรมคอมพิวเตอร์,สอนในหัวข้อ 6.1 คำสั่ง if / if...else 6.2 คำสั่ง if ซ้อน (Nested if) และทำใบงานที่ 6.1,,1,14
6/8/2569,-,เตรียมเนื้อหาการสอนและจัดทำส่วนหน้าปกของเล่มรายงานฝึกสอนอาสาพาศิษย์ไหว้,1vWtZpIOqk3tbHsF-_rD2hpaXgaus0z0l,1,14
7/8/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สรุปผลคะแนนสอบปฏิบัติการ ชี้แนะจุดที่ต้องปรับปรุงและแนวทางแก้ไข,,1,14
10/8/2569,-,กิจกรรมกีฬาสีภายในสถานศึกษา (ไม่มีการเรียนการสอน),1wj9ySzY-vc3nI5HKGeduRhfU6ccinmCp,1,15
11/8/2569,-,กิจกรรมกีฬาสีภายในสถานศึกษา (ไม่มีการเรียนการสอน),1gl-Po6cbA_tJCfLXXxoe9KpnMhrlWU21,1,15
12/8/2569,-,วันหยุดราชการเนื่องในวันเฉลิมพระชนมพรรษา สมเด็จพระบรมราชชนนีพันปีหลวง (วันแม่แห่งชาติ),1FPb0AoPZGDaH4o3cn7VR4J11SRzhbrHe,1,15
